province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sulawesi Utara,marine culture,tons,7.739,6.63,4.502,4.827,8.347,48.546,103.544,159.642,174.052,301.876,339.578
Sulawesi Tengah,marine culture,tons,124.512,170.275,182.074,286.294,710.991,716.496,734.635,891.428,1.234.021,1.137.589,1.274.906
Sulawesi Selatan,marine culture,tons,201.406,406.474,415.727,461.593,627.383,815.777,1.024.310,1.480.791,1.661.417,2.087.873,2.411.918
Sulawesi Tenggara,marine culture,tons,12.359,26.076,82.322,124.858,186.616,353.431,588.745,640.334,918.245,956.495,916.313
Gorontalo,marine culture,tons,5.654,6.122,7.117,13.576,48.283,64.077,89.19,95.482,104.047,24.991,53.74
Sulawesi Barat,marine culture,tons,-,1.199,578,1.294,9.942,13.211,21.553,27.343,33.127,39.323,36.864
Maluku,marine culture,tons,265,3.352,17.533,37.066,52.339,275.193,610.712,476.175,586.106,496.004,712.609
Maluku Utara,marine culture,tons,834,714,1.08,1.48,2.289,49.878,65.093,121.135,98.312,103.213,41.592
Papua Barat,marine culture,tons,3.467,-,762,5.293,12.865,20.613,26.28,131,75.565,57.76,37.847
Papua,marine culture,tons,-,77,39,226,149,224,176,57.555,146,51,155
Indonesia,marine culture,tons,890.074,1.365.918,1.509.528,1.966.002,2.820.083,3.514.702,4.605.827,5.769.737,8.379.271,9.034.756,10.174.022
Aceh,brackish pond,tons,12.336,19.596,26.451,30.936,25.851,31.041,23.405,27.994,32.94,37.721,42.223
Sumatera Utara,brackish pond,tons,18.73,17.689,22.171,33.83,33.965,32.785,32.83,33.841,35.506,29.345,29.496
Sumatera Barat,brackish pond,tons,5,5,4,5,10,12,12,26,179,297,332
Riau,brackish pond,tons,741,245,507,839,964,2.371,2.12,662,329,311,135
Kepulauan Riau,brackish pond,tons,1.304,1.575,1.252,1.822,2.061,2.097,1.852,47.278,52.201,786,521
Jambi,brackish pond,tons,21.516,27.388,33.194,39.013,74.049,65.133,70.73,750,1.838,53.082,64.496
Sumatera Selatan,brackish pond,tons,1.438,790,786,839,1.021,897,1.125,961,761,4.767,7.548
Kepulauan Bangka Belitung,brackish pond,tons,123.571,158.011,165.99,158.264,78.031,53.248,54.666,662,91,71.064,53.076
Bengkulu,brackish pond,tons,152,154,165,388,490,503,535,50.315,82.822,828,1.076
Lampung,brackish pond,tons,-,-,253,130,9,14,13,732,538,35,42
DKI Jakarta,brackish pond,tons,143,99,1.751,1.966,760,1.03,1.8,827,1.211,756,2.656
Jawa Barat,brackish pond,tons,65.073,73.325,92.302,107.293,107.69,170.684,179.98,199.923,338.439,310.481,320.278
Jawa Tengah,brackish pond,tons,52.381,54.165,67.819,73.393,72.701,83.878,115.786,110.526,188.407,212.693,171.485
DI Yogyakarta,brackish pond,tons,213,224,301,428,464,268,499,602,817,2.495,3.372
Jawa Timur,brackish pond,tons,122.467,75.954,104.865,78.922,111.445,158.927,177.682,170.434,177.077,191.61,206.362
Banten,brackish pond,tons,10.877,11.744,15.262,16.19,15.874,56.309,59.345,51.535,58.511,60.07,60.112
Bali,brackish pond,tons,2.741,2.795,2.897,5.566,3.505,2.649,2.232,1.899,3.005,3.554,3.288
Nusa Tenggara Barat,brackish pond,tons,11.222,12.695,23.114,35.796,31.692,40.544,67.999,78.418,97.839,111.554,120.993
Nusa Tenggara Timur,brackish pond,tons,227,714,495,443,464,1.027,1.195,1.497,1.586,1.902,3.575
Kalimantan Barat,brackish pond,tons,1.864,2.09,3.13,8.2,4.44,12.889,10.089,19.805,47.723,46.73,20.158
Kalimantan Tengah,brackish pond,tons,1.808,1.244,1.085,1.314,2.377,4.031,5.224,6.394,9.244,10.745,11.693
Kalimantan Selatan,brackish pond,tons,5.316,3.415,6.027,7.82,11.277,15.378,20.101,23.392,23.826,27.177,33.954
Kalimantan Timur,brackish pond,tons,26.978,21.828,31.72,33.196,31.333,53.517,51.164,60.557,54.208,52.572,38.792
Kalimantan Utara,brackish pond,tons,,,,,,,,,,,5.366
Sulawesi Utara,brackish pond,tons,183,114,161,256,96,606,428,261,10.451,668,703
Sulawesi Tengah,brackish pond,tons,9.347,10.181,18.987,11.702,13.591,23.214,42.057,30.627,83.215,73.733,113.202
Sulawesi Selatan,brackish pond,tons,133.088,104.996,297.677,272.891,233.607,534.456,600.241,744.385,918.645,1.001.214,1.052.493
Sulawesi Tenggara,brackish pond,tons,17.479,11.316,9.5,24.703,30.337,46.962,54.921,66.183,86.506,75.954,74.888
Gorontalo,brackish pond,tons,1.553,459,746,1.804,2.29,4.081,3.212,3.716,10.879,11.344,9.552
